date,net_pnl_usd,cum_pnl_usd
2016-04-21,-20.60360728636209,-20.60360728636209
2016-04-22,-10.453591936027959,-31.05719922239005
2016-04-25,-530.0181094574016,-561.0753086797916
2016-04-26,-281.31878644308784,-842.3940951228794
2016-04-27,-323.2482400457003,-1165.6423351685798
2016-04-28,-2116.912481380893,-3282.554816549473
2016-04-29,-827.7354785265046,-4110.290295075977
2016-05-02,-801.5092624888721,-4911.799557564849
2016-05-03,-307.6669770865674,-5219.466534651417
2016-05-04,-1005.4105277654849,-6224.877062416901
2016-05-05,-484.055476320201,-6708.932538737102
2016-05-06,-301.0229747925628,-7009.955513529665
2016-05-09,-889.9954382028616,-7899.950951732527
2016-05-10,-501.13428610783734,-8401.085237840363
2016-05-11,481.33789860642287,-7919.747339233941
2016-05-12,-1312.9500704197612,-9232.697409653701
2016-05-13,-588.8108142390463,-9821.508223892748
2016-05-16,-1279.6603624638958,-11101.168586356644
2016-05-17,553.4858552625433,-10547.6827310941
2016-05-18,-53.20248407869178,-10600.885215172793
2016-05-19,1382.3865326002658,-9218.498682572528
2016-05-20,1043.708218092976,-8174.790464479553
2016-05-23,-796.2319928597173,-8971.02245733927
2016-05-24,-822.7982041510684,-9793.820661490337
2016-05-25,-827.5154806305517,-10621.336142120888
2016-05-26,746.586161848162,-9874.749980272727
2016-05-27,-1239.144081134179,-11113.894061406907
2016-05-31,-333.89606253306107,-11447.790123939969
2016-06-01,289.4849671826612,-11158.305156757307
2016-06-02,45.46368398708978,-11112.841472770218
2016-06-03,-588.8389312683873,-11701.680404038605
2016-06-06,-85.40167439770009,-11787.082078436306
2016-06-07,-227.24887892376617,-12014.330957360073
2016-06-08,-291.44192683715124,-12305.772884197224
2016-06-09,115.55149396772265,-12190.2213902295
2016-06-10,-3006.318213957639,-15196.539604187139
2016-06-13,808.9972169149834,-14387.542387272155
2016-06-14,-2738.9645057342213,-17126.506893006375
2016-06-15,739.2082414720138,-16387.298651534362
2016-06-16,-61.7731407774192,-16449.07179231178
2016-06-17,509.35536620570014,-15939.71642610608
2016-06-20,227.84831088630784,-15711.868115219773
2016-06-21,-200.7582290887717,-15912.626344308545
2016-06-22,30.415201997152906,-15882.211142311391
2016-06-23,-1733.7925009661924,-17616.003643277585
2016-06-24,2062.218160514968,-15553.785482762618
2016-06-27,-25179.4155326135,-40733.20101537612
2016-06-28,599.9449235549819,-40133.25609182114
2016-06-29,6543.727890704355,-33589.52820111679
2016-06-30,10482.536161573615,-23106.992039543173
2016-07-01,4847.451740652117,-18259.540298891057
2016-07-05,-981.3365058238144,-19240.876804714873
2016-07-06,226.14155918996505,-19014.73524552491
2016-07-07,1116.3488903520129,-17898.386355172897
2016-07-08,2681.060051444972,-15217.326303727925
2016-07-11,1387.6373459396423,-13829.688957788283
2016-07-12,557.2348160737165,-13272.454141714567
2016-07-13,581.4691527130224,-12690.984989001545
2016-07-14,-21.7522051737036,-12712.737194175248
2016-07-18,758.517818256508,-11954.21937591874
2016-07-19,195.32208005224348,-11758.897295866496
2016-07-20,2320.9210646989372,-9437.976231167559
2016-07-21,-35.62908566198553,-9473.605316829544
2016-07-22,-462.5411367035873,-9936.14645353313
2016-07-25,-421.80190087778726,-10357.948354410917
2016-07-26,-357.1578532580138,-10715.10620766893
2016-07-27,-578.7250723563486,-11293.831280025279
2016-07-28,-1034.8176479717636,-12328.648927997043
2016-07-29,-841.77611483463,-13170.425042831674
2016-08-01,-1524.358996670394,-14694.784039502068
2016-08-02,-2842.1304849738526,-17536.91452447592
2016-08-03,689.2974903027836,-16847.617034173138
2016-08-04,-1.867262312752814,-16849.48429648589
2016-08-05,-179.28950806845515,-17028.773804554345
2016-08-08,407.51676658563053,-16621.257037968713
2016-08-09,-108.62024599274375,-16729.877283961458
2016-08-10,-1175.5192397642122,-17905.39652372567
2016-08-11,652.5618878832345,-17252.834635842435
2016-08-12,-849.2699782687565,-18102.10461411119
2016-08-15,-478.3831978538934,-18580.487811965086
2016-08-16,-1327.3344251492533,-19907.82223711434
2016-08-17,541.0937587590035,-19366.728478355333
2016-08-18,342.696717447086,-19024.03176090825
2016-08-19,-783.6690173485522,-19807.7007782568
2016-08-22,-576.4951344068224,-20384.19591266362
2016-08-23,1771.492116973559,-18612.70379569006
2016-08-24,-869.9212018691039,-19482.624997559164
2016-08-25,-265.3320948084489,-19747.95709236761
2016-08-26,721.058218749447,-19026.898873618164
2016-08-29,813.2876679096198,-18213.611205708545
2016-08-30,-572.3033168405943,-18785.914522549137
2016-08-31,-898.6124125393206,-19684.52693508846
2016-09-01,-393.25761616558043,-20077.78455125404
2016-09-02,711.6235898674397,-19366.160961386602
2016-09-06,-1424.3446345982247,-20790.505595984825
2016-09-07,-533.0767076324389,-21323.582303617262
2016-09-08,-1116.7731945148048,-22440.355498132067
2016-09-09,-296.2956164976056,-22736.651114629673
2016-09-12,-604.617050319139,-23341.26816494881
2016-09-14,266.2901329486225,-23074.97803200019
2016-09-15,496.1301989535491,-22578.84783304664
2016-09-16,507.29509542415974,-22071.552737622478
2016-09-19,-366.0091392874084,-22437.561876909887
2016-09-20,445.35306236213955,-21992.208814547746
2016-09-21,-942.5852018093489,-22934.794016357097
2016-09-22,871.0006318877563,-22063.79338446934
2016-09-23,-283.3945885839447,-22347.187973053286
2016-09-26,681.7853151583315,-21665.402657894952
2016-09-27,550.2851271407403,-21115.11753075421
2016-09-28,325.2122001488611,-20789.90533060535
2016-09-29,-153.62684701661306,-20943.532177621964
2016-09-30,756.3780785283908,-20187.154099093572
2016-10-03,531.8575313437599,-19655.29656774981
2016-10-04,1722.8786005834552,-17932.417967166355
2016-10-05,-1023.1566929627514,-18955.574660129107
2016-10-06,284.3157849739035,-18671.258875155203
2016-10-07,381.584272295587,-18289.674602859617
2016-10-10,-333.0178008497807,-18622.6924037094
2016-10-11,-306.0000000000002,-18928.6924037094
2016-10-13,-134.42005242436932,-19063.112456133767
2016-10-14,365.80787716865404,-18697.304578965115
2016-10-17,-358.96520714991277,-19056.269786115026
2016-10-18,129.857028305174,-18926.412757809852
2016-10-19,-33.54886829789325,-18959.961626107746
2016-10-20,209.4905590834383,-18750.471067024308
2016-10-21,-421.51895423359076,-19171.990021257898
2016-10-24,-63.9640976780197,-19235.95411893592
2016-10-26,632.9006419428508,-18603.053476993067
2016-10-27,1510.1336464240408,-17092.919830569026
2016-10-28,-1944.1759764643537,-19037.09580703338
2016-10-31,-576.9655248364191,-19614.061331869798
2016-11-01,-1087.502522234652,-20701.56385410445
2016-11-02,758.1805918499987,-19943.38326225445
2016-11-03,-1049.9631910844955,-20993.346453338945
2016-11-04,-641.3963493873702,-21634.742802726316
2016-11-07,-1123.280846776421,-22758.02364950274
2016-11-08,-140.30009665577597,-22898.323746158516
2016-11-09,-1192.737574739137,-24091.061320897654
2016-11-10,-5722.967665524546,-29814.0289864222
2016-11-11,847.5504835561007,-28966.4785028661
2016-11-14,-2077.7667610286353,-31044.245263894736
2016-11-15,575.8175517666492,-30468.427712128087
2016-11-16,316.08386948678,-30152.343842641305
2016-11-17,1118.1523363647839,-29034.191506276522
2016-11-18,871.1132842378192,-28163.078222038705
2016-11-21,324.68805734156336,-27838.390164697143
2016-11-22,-432.06206213836657,-28270.45222683551
2016-11-23,1415.0135810252314,-26855.438645810278
2016-11-25,-120.75532325243097,-26976.193969062708
2016-11-28,-330.48205185337974,-27306.676020916086
2016-11-29,2643.3901935582635,-24663.285827357824
2016-11-30,-328.77539744999063,-24992.061224807814
2016-12-01,-1595.453074785795,-26587.514299593608
2016-12-02,-203.21417216616857,-26790.728471759776
2016-12-05,-717.8235503325773,-27508.552022092354
2016-12-07,2861.4121976227525,-24647.139824469603
2016-12-08,-569.0525255175351,-25216.192349987137
